Split,Class,Width,Height,Mode,Format,Path
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_10.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_100.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1000.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1001.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1002.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1003.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1004.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1005.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1006.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1007.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1008.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1009.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_101.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1010.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1011.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1012.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1013.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1014.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1015.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1016.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1017.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1018.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1019.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_102.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1020.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1021.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1022.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1023.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1024.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1025.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1026.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1027.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1028.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1029.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_103.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1030.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1031.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1032.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1033.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1034.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1035.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1036.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1037.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1038.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1039.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_104.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1040.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1041.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1042.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1043.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1044.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1045.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1046.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1047.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1048.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1049.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_105.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1050.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1051.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1052.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1053.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1054.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1055.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1056.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1057.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1058.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1059.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_106.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1060.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1061.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1062.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1063.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1064.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1065.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1066.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1067.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1068.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1069.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_107.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1070.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1071.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1072.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1073.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1074.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1075.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1076.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1077.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1078.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1079.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_108.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1080.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1081.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1082.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1083.jpg
Training,glioma,512,512,RGB,JPEG,Dataset\Training\glioma\Tr-gl_1084.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1085.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1086.jpg
Training,glioma,512,512,L,JPEG,Dataset\Training\glioma\Tr-gl_1087.jpg
